
declara&#355;ie autentic&#259; notarial&#259;   -   közjegyz&#337; által hitelesített nyilatkozat (frrs: ny3lv1 7ogok)
denuntare calomnioasa   -   hamis feljelentés (frrs: ny3lv1 7ogok)
departament    -   részleg, (id&#337;nként f&#337;osztály, hivatal, f&#337;igazgatóság) (frrs: ny3lv1 7ogok)
depozit bancar   -   bankbetét (frrs: ny3lv1 7ogok)
depozit colateral   -   mellékes banki betét (frrs: ny3lv1 7ogok)
descenden&#355;i &#206;n linie dreapt&#259;   -   egyenesági leszármazott (frrs: ny3lv1 7ogok)
diploma    -   oklevél, diploma (frrs: ny3lv1 7ogok)
direc&#355;ie   -   igazgatóság (frrs: ny3lv1 7ogok)
divorta&#355;(&#259;)   -   elvált (frrs: ny3lv1 7ogok)
documentului de plat&#259;   -   befizetési bizonylat (frrs: ny3lv1 7ogok)
domiciliu    -   állandó lakhely (frrs: ny3lv1 7ogok)
dosar   -   aktacsomó, dosszié (frrs: ny3lv1 7ogok)
drept interna&#355;ional    -   nemzetközi jog (frrs: ny3lv1 7ogok)
dreptul de a alege    -   aktív választójog (frrs: ny3lv1 7ogok)
dreptul de a fi ales    -   passzív választójog (frrs: ny3lv1 7ogok)
dreptul de uzufruct   -   haszonélvezeti jog (frrs: ny3lv1 7ogok)
dreptul la autodeterminare   -   önrendelkezési jog (frrs: ny3lv1 7ogok)
drepturi civile    -   polgári jog (frrs: ny3lv1 7ogok)
E   -   E (frrs: ny3lv1 7ogok)
edilitar -&#259;, -i, -e    -   városrendezési … (frrs: ny3lv1 7ogok)
eviden&#355;&#259;   -   nyilvántartás (frrs: ny3lv1 7ogok)
eviden&#355;a persoanelor   -   lakosságnyilvántartó (anyakönyvi hivatal új neve) (frrs: ny3lv1 7ogok)
executare silit&#259;    -   kényszervégrehajtás (frrs: ny3lv1 7ogok)
executor testamentar   -   végrendeleti végrehajtó (frrs: ny3lv1 7ogok)
exemplarul II.   -   másodpéldány (frrs: ny3lv1 7ogok)
exercitarea drepturilor cetatenesti   -   közügyekt&#337;l történ&#337; eltiltás (frrs: ny3lv1 7ogok)
expert contabil   -   könyvszakért&#337; (frrs: ny3lv1 7ogok)
extraordinar   -   soron kívüli (frrs: ny3lv1 7ogok)
extras   -   kivonat (frrs: ny3lv1 7ogok)
extras de cont   -   számlakivonat (frrs: ny3lv1 7ogok)
F   -   F (frrs: ny3lv1 7ogok)
factur&#259;   -   számla (frrs: ny3lv1 7ogok)
f&#259;r&#259; sc&#259;z&#259;m&#226;nt   -   hiánytalanul (frrs: ny3lv1 7ogok)
fi&#351;&#259; cadastral&#259;   -   kataszteri lap (frrs: ny3lv1 7ogok)
formular -e   -   &#369;rlap , formanyomtatvány, iratminta,(erdélyiesen: )típuskérés (frrs: ny3lv1 7ogok)
forta majora   -   kényszerhelyzet (frrs: ny3lv1 7ogok)
fraud&#259; electoral&#259;    -   választási csalás (frrs: ny3lv1 7ogok)
func&#355;ionar public   -   köztisztvisel&#337;, közalkalmazott (frrs: ny3lv1 7ogok)
funda&#355;ie   -   alapítvány (frrs: ny3lv1 7ogok)
G   -   G (frrs: ny3lv1 7ogok)
gre&#351;it   -   hibás (frrs: ny3lv1 7ogok)
H   -   H (frrs: ny3lv1 7ogok)
hot&#259;r&#226;re   -   határozat (frrs: ny3lv1 7ogok)
I   -   I (frrs: ny3lv1 7ogok)
ilegal    -   törvénytelen, jogtalan (frrs: ny3lv1 7ogok)
imobil   -   ingatlan (frrs: ny3lv1 7ogok)
impozit   -   adó (frrs: ny3lv1 7ogok)
impozit final   -   végleges adó (frrs: ny3lv1 7ogok)
impozit lunar pe salarii   -   fizetési adó (frrs: ny3lv1 7ogok)
impozit pe venit din transferul propriet&#259;&#355;ii imobiliare din patrimoniul personal   -   tulajdon-átruházási adó (frrs: ny3lv1 7ogok)
imprescriptibil    -   elévülhetetlen (frrs: ny3lv1 7ogok)
&#206;mprumutat   -   hitelfelvev&#337;, adós (frrs: ny3lv1 7ogok)
impune   -   adót vet ki (frrs: ny3lv1 7ogok)
&#206;mputernicit   -   meghatalmazott (frrs: ny3lv1 7ogok)
in fond   -   érdemben (frrs: ny3lv1 7ogok)
&#206;ncasare de impozite    -   adóbeszedés (frrs: ny3lv1 7ogok)
incheierea final&#259;   -   záróvégzés (frrs: ny3lv1 7ogok)
incomplet   -   hiányos (frrs: ny3lv1 7ogok)
&#206;ncuvin&#355;area prealabil&#259; a autorit&#259;&#355;ii tutelare   -   el&#337;zetes gyámhatósági hozzájárulás (frrs: ny3lv1 7ogok)
indemnizatii   -   alapfizetésen kívüli járulékok / juttatások (frrs: ny3lv1 7ogok)
infrac&#355;iune    -   b&#369;ncselekmény (frrs: ny3lv1 7ogok)
&#206;nregistrata sub …   -   iktatva (frrs: ny3lv1 7ogok)
inspector   -   felügyel&#337; (frrs: ny3lv1 7ogok)
inspectorat    -   felügyel&#337;ség (frrs: ny3lv1 7ogok)
institu&#355;ie public&#259;   -   közintézmény (frrs: ny3lv1 7ogok)
&#206;nstr&#259;ina   -   elidegenítés (eladás) (frrs: ny3lv1 7ogok)
&#206;nt&#226;mpinare   -   kifogás (jogi értelemben) (frrs: ny3lv1 7ogok)
J   -   J (frrs: ny3lv1 7ogok)
jandarmerie   -   csend&#337;rség (frrs: ny3lv1 7ogok)
jude&#355;   -   megye (frrs: ny3lv1 7ogok)
jurisconsult   -   jogtanácsos (frrs: ny3lv1 7ogok)
justificat -&#259;, -i, -e   -   jogos, jog alapján járó (frrs: ny3lv1 7ogok)
K   -   K (frrs: ny3lv1 7ogok)
